1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
77, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 5, 5, 5
78, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 5, 5, 5
79, extreme_hills, minecraft:mountains, MONSTER, minecraft:spider, 80, 4, 4
80, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie, 80, 4, 4
81, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
82, extreme_hills, minecraft:mountains, MONSTER, minecraft:skeleton, 80, 4, 4
83, extreme_hills, minecraft:mountains, MONSTER, minecraft:creeper, 80, 4, 4
84, extreme_hills, minecraft:mountains, MONSTER, minecraft:slime, 80, 4, 4
85, extreme_hills, minecraft:mountains, MONSTER, minecraft:enderman, 10, 1, 4
86, extreme_hills, minecraft:mountains, MONSTER, minecraft:witch, 5, 1, 1
87, extreme_hills, minecraft:mountains, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
88, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
89, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
90, extreme_hills, minecraft:mountains, MONSTER, minecraft:stray, 80, 4, 4
91, extreme_hills, minecraft:mountains, MONSTER, eidolon:wraith, 80, 1, 2
92, extreme_hills, minecraft:mountains, MONSTER, eidolon:zombie_brute, 20, 1, 2
93, extreme_hills, minecraft:mountains, MONSTER, iceandfire:troll, 5, 1, 3
94, extreme_hills, minecraft:mountains, MONSTER, quark:stoneling, 80, 1, 1
95, extreme_hills, minecraft:mountains, MONSTER, quark:toretoise, 80, 1, 1
96, extreme_hills, minecraft:mountains, MONSTER, savageandravage:iceologer, 8, 1, 1
97, extreme_hills, minecraft:mountains, CREATURE, frozenup:chilloo, 5, 2, 3
98, extreme_hills, minecraft:mountains, CREATURE, minecraft:sheep, 12, 4, 4
99, extreme_hills, minecraft:mountains, CREATURE, snowpig:snow_pig, 5, 4, 4
100, extreme_hills, minecraft:mountains, CREATURE, minecraft:chicken, 10, 4, 4
101, extreme_hills, minecraft:mountains, CREATURE, minecraft:cow, 8, 4, 4
102, extreme_hills, minecraft:mountains, CREATURE, minecraft:llama, 5, 4, 6
103, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 5, 1, 1
104, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 5, 1, 1
105, extreme_hills, minecraft:mountains, CREATURE, minecraft:polar_bear, 5, 1, 2
106, extreme_hills, minecraft:mountains, CREATURE, snowpig:snow_pig, 10, 4, 4
107, extreme_hills, minecraft:mountains, CREATURE, cavesandcliffs:goat, 10, 4, 6
108, extreme_hills, minecraft:mountains, CREATURE, iceandfire:hippogryph, 5, 1, 1
109, extreme_hills, minecraft:mountains, CREATURE, druidcraft:lunar_moth, 5, 2, 5
110, extreme_hills, minecraft:mountains, AMBIENT, minecraft:bat, 10, 8, 8
111, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 5, 5, 5
112, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 5, 5, 5
113, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
114, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
115, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
116, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
117, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
118, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
119, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
120, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
121, forest, minecraft:forest, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
122, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
123, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
124, forest, minecraft:forest, MONSTER, minecraft:stray, 80, 4, 4
125, forest, minecraft:forest, MONSTER, eidolon:wraith, 80, 1, 2
126, forest, minecraft:forest, MONSTER, eidolon:zombie_brute, 20, 1, 2
127, forest, minecraft:forest, MONSTER, iceandfire:troll, 5, 1, 3
128, forest, minecraft:forest, MONSTER, druidcraft:beetle, 10, 1, 2
129, forest, minecraft:forest, MONSTER, direbats:direbat, 80, 1, 4
130, forest, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
131, forest, minecraft:forest, MONSTER, quark:toretoise, 80, 1, 1
132, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
133, forest, minecraft:forest, CREATURE, snowpig:snow_pig, 5, 4, 4
134, forest, minecraft:forest, CREATURE, frozenup:chilloo, 5, 2, 3
135, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
136, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
137, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
138, forest, minecraft:forest, CREATURE, minecraft:polar_bear, 5, 1, 2
139, forest, minecraft:forest, CREATURE, snowpig:snow_pig, 10, 4, 4
140, forest, minecraft:forest, CREATURE, druidcraft:lunar_moth, 5, 2, 5
141, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
142, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 5, 5, 5
143, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 5, 5, 5
144, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
145, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 5, 1, 1
146, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
147, taiga, minecraft:taiga, MONSTER, minecraft:creeper, 80, 4, 4
148, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
149, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 10, 1, 4
150, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
151, taiga, minecraft:taiga, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
152, taiga, minecraft:taiga, MONSTER, betterdefaultbiomes:frozen_zombie, 80, 4, 4
153, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 8, 1, 1
154, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 8, 1, 1
155, taiga, minecraft:taiga, MONSTER, minecraft:stray, 80, 4, 4
156, taiga, minecraft:taiga, MONSTER, eidolon:wraith, 80, 1, 2
157, taiga, minecraft:taiga, MONSTER, eidolon:zombie_brute, 20, 1, 2
158, taiga, minecraft:taiga, MONSTER, iceandfire:troll, 5, 1, 3
159, taiga, minecraft:taiga, MONSTER, druidcraft:beetle, 10, 1, 2
160, taiga, minecraft:taiga, MONSTER, direbats:direbat, 80, 1, 4
161, taiga, minecraft:taiga, MONSTER, quark:stoneling, 80, 1, 1
162, taiga, minecraft:taiga, MONSTER, quark:toretoise, 80, 1, 1
163, taiga, minecraft:taiga, CREATURE, frozenup:chilloo, 5, 2, 3
164, taiga, minecraft:taiga, CREATURE, minecraft:sheep, 12, 4, 4
165, taiga, minecraft:taiga, CREATURE, snowpig:snow_pig, 5, 4, 4
166, taiga, minecraft:taiga, CREATURE, minecraft:chicken, 10, 4, 4
167, taiga, minecraft:taiga, CREATURE, minecraft:cow, 8, 4, 4
168, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 8, 4, 4
169, taiga, minecraft:taiga, CREATURE, minecraft:rabbit, 5, 2, 3
170, taiga, minecraft:taiga, CREATURE, minecraft:fox, 8, 2, 4
171, taiga, minecraft:taiga, CREATURE, minecraft:polar_bear, 5, 1, 2
172, taiga, minecraft:taiga, CREATURE, snowpig:snow_pig, 10, 4, 4
173, taiga, minecraft:taiga, CREATURE, druidcraft:lunar_moth, 5, 2, 5
174, taiga, minecraft:taiga, AMBIENT, minecraft:bat, 10, 8, 8
175, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 5, 5, 5
176, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 5, 5, 5
177, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
178, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
179, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 5, 1, 1
180, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
181, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
182, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
183, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 10, 1, 4
184, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
185, swamp, minecraft:swamp, MONSTER, minecraft:slime, 5, 1, 1
186, swamp, minecraft:swamp, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
187, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 8, 1, 1
188, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 8, 1, 1
189, swamp, minecraft:swamp, MONSTER, minecraft:stray, 80, 4, 4
190, swamp, minecraft:swamp, MONSTER, eidolon:wraith, 80, 1, 2
191, swamp, minecraft:swamp, MONSTER, eidolon:zombie_brute, 20, 1, 2
192, swamp, minecraft:swamp, MONSTER, quark:stoneling, 80, 1, 1
193, swamp, minecraft:swamp, MONSTER, quark:toretoise, 80, 1, 1
194, swamp, minecraft:swamp, CREATURE, frozenup:chilloo, 5, 2, 3
195, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
196, swamp, minecraft:swamp, CREATURE, snowpig:snow_pig, 5, 4, 4
197, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
198, swamp, minecraft:swamp, CREATURE, minecraft:cow, 8, 4, 4
199, swamp, minecraft:swamp, CREATURE, minecraft:polar_bear, 5, 1, 2
200, swamp, minecraft:swamp, CREATURE, snowpig:snow_pig, 10, 4, 4
201, swamp, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
202, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
203, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 5, 5, 5
204, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 5, 5, 5
205, swamp, minecraft:swamp, WATER_CREATURE, minecraft:squid, 5, 1, 2
206, swamp, minecraft:swamp, WATER_AMBIENT, upgrade_aquatic:pike, 5, 1, 2
207, swamp, minecraft:swamp, WATER_AMBIENT, upgrade_aquatic:perch, 5, 1, 6
208, river, minecraft:river, MONSTER, minecraft:spider, 80, 4, 4
209, river, minecraft:river, MONSTER, minecraft:zombie, 80, 4, 4
210, river, minecraft:river, MONSTER, minecraft:zombie_villager, 5, 1, 1
211, river, minecraft:river, MONSTER, minecraft:skeleton, 80, 4, 4
212, river, minecraft:river, MONSTER, minecraft:creeper, 80, 4, 4
213, river, minecraft:river, MONSTER, minecraft:slime, 80, 4, 4
214, river, minecraft:river, MONSTER, minecraft:enderman, 10, 1, 4
215, river, minecraft:river, MONSTER, minecraft:witch, 5, 1, 1
216, river, minecraft:river, MONSTER, minecraft:drowned, 80, 1, 1
217, river, minecraft:river, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
218, river, minecraft:river, MONSTER, alexsmobs:centipede_head, 8, 1, 1
219, river, minecraft:river, MONSTER, alexsmobs:centipede_head, 8, 1, 1
220, river, minecraft:river, MONSTER, minecraft:stray, 80, 4, 4
221, river, minecraft:river, MONSTER, eidolon:wraith, 80, 1, 2
222, river, minecraft:river, MONSTER, eidolon:zombie_brute, 20, 1, 2
223, river, minecraft:river, MONSTER, druidcraft:dreadfish, 40, 1, 3
224, river, minecraft:river, MONSTER, quark:stoneling, 80, 1, 1
225, river, minecraft:river, MONSTER, quark:toretoise, 80, 1, 1
226, river, minecraft:river, CREATURE, minecraft:polar_bear, 5, 1, 2
227, river, minecraft:river, CREATURE, snowpig:snow_pig, 10, 4, 4
228, river, minecraft:river, AMBIENT, minecraft:bat, 10, 8, 8
229, river, minecraft:river, AMBIENT, alexsmobs:cockroach, 5, 5, 5
230, river, minecraft:river, AMBIENT, alexsmobs:cockroach, 5, 5, 5
231, river, minecraft:river, WATER_CREATURE, minecraft:squid, 5, 1, 4
232, river, minecraft:river, WATER_AMBIENT, minecraft:salmon, 5, 1, 5
233, river, minecraft:river, WATER_AMBIENT, upgrade_aquatic:pike, 11, 1, 2
234, nether, minecraft:nether_wastes, MONSTER, minecraft:ghast, 50, 4, 4
235, nether, minecraft:nether_wastes, MONSTER, minecraft:zombified_piglin, 80, 4, 4
236, nether, minecraft:nether_wastes, MONSTER, minecraft:magma_cube, 5, 4, 4
237, nether, minecraft:nether_wastes, MONSTER, minecraft:enderman, 5, 4, 4
238, nether, minecraft:nether_wastes, MONSTER, alexsmobs:bone_serpent, 8, 1, 1
239, nether, minecraft:nether_wastes, MONSTER, alexsmobs:dropbear, 19, 1, 1
240, nether, minecraft:nether_wastes, MONSTER, alexsmobs:bone_serpent, 8, 1, 1
241, nether, minecraft:nether_wastes, MONSTER, alexsmobs:dropbear, 19, 1, 1
242, nether, minecraft:nether_wastes, MONSTER, infernalexp:voline, 50, 1, 3
243, nether, minecraft:nether_wastes, MONSTER, quark:foxhound, 30, 1, 2
244, nether, minecraft:nether_wastes, CREATURE, minecraft:strider, 60, 1, 2
245, the_end, minecraft:the_end, MONSTER, minecraft:enderman, 10, 4, 4
246, the_end, minecraft:the_end, MONSTER, minecraft:stray, 80, 4, 4
247, the_end, minecraft:the_end, CREATURE, minecraft:polar_bear, 5, 1, 2
248, the_end, minecraft:the_end, CREATURE, snowpig:snow_pig, 10, 4, 4
249, ocean, minecraft:frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
250, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
251, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
252, ocean, minecraft:frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
253, ocean, minecraft:frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
254, ocean, minecraft:frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
255, ocean, minecraft:frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
256, ocean, minecraft:frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
257, ocean, minecraft:frozen_ocean, MONSTER, minecraft:drowned, 20, 1, 1
258, ocean, minecraft:frozen_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
259, ocean, minecraft:frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
260, ocean, minecraft:frozen_ocean, MONSTER, eidolon:wraith, 80, 1, 2
261, ocean, minecraft:frozen_ocean, MONSTER, eidolon:zombie_brute, 20, 1, 2
262, ocean, minecraft:frozen_ocean, MONSTER, iceandfire:dread_lich, 5, 1, 1
263, ocean, minecraft:frozen_ocean, MONSTER, iceandfire:troll, 5, 1, 3
264, ocean, minecraft:frozen_ocean, MONSTER, druidcraft:dreadfish, 40, 1, 3
265, ocean, minecraft:frozen_ocean, MONSTER, upgrade_aquatic:thrasher, 80, 1, 2
266, ocean, minecraft:frozen_ocean, MONSTER, quark:stoneling, 80, 1, 1
267, ocean, minecraft:frozen_ocean, MONSTER, quark:toretoise, 80, 1, 1
268, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
269, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
270, ocean, minecraft:frozen_ocean, CREATURE, snowpig:snow_pig, 10, 4, 4
271, ocean, minecraft:frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
272, ocean, minecraft:frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
273, ocean, minecraft:frozen_ocean, WATER_CREATURE, upgrade_aquatic:glow_squid, 67, 1, 1
274, ocean, minecraft:frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
275, river, minecraft:frozen_river, MONSTER, minecraft:spider, 80, 4, 4
276, river, minecraft:frozen_river, MONSTER, minecraft:zombie, 80, 4, 4
277, river, minecraft:frozen_river, MONSTER, minecraft:zombie_villager, 5, 1, 1
278, river, minecraft:frozen_river, MONSTER, minecraft:skeleton, 80, 4, 4
279, river, minecraft:frozen_river, MONSTER, minecraft:creeper, 80, 4, 4
280, river, minecraft:frozen_river, MONSTER, minecraft:slime, 80, 4, 4
281, river, minecraft:frozen_river, MONSTER, minecraft:enderman, 10, 1, 4
282, river, minecraft:frozen_river, MONSTER, minecraft:witch, 5, 1, 1
283, river, minecraft:frozen_river, MONSTER, minecraft:drowned, 20, 1, 1
284, river, minecraft:frozen_river, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
285, river, minecraft:frozen_river, MONSTER, alexsmobs:centipede_head, 8, 1, 1
286, river, minecraft:frozen_river, MONSTER, alexsmobs:centipede_head, 8, 1, 1
287, river, minecraft:frozen_river, MONSTER, minecraft:stray, 80, 4, 4
288, river, minecraft:frozen_river, MONSTER, eidolon:wraith, 80, 1, 2
289, river, minecraft:frozen_river, MONSTER, eidolon:zombie_brute, 20, 1, 2
290, river, minecraft:frozen_river, MONSTER, iceandfire:dread_lich, 5, 1, 1
291, river, minecraft:frozen_river, MONSTER, iceandfire:troll, 5, 1, 3
292, river, minecraft:frozen_river, MONSTER, druidcraft:dreadfish, 40, 1, 3
293, river, minecraft:frozen_river, MONSTER, quark:stoneling, 80, 1, 1
294, river, minecraft:frozen_river, MONSTER, quark:toretoise, 80, 1, 1
295, river, minecraft:frozen_river, CREATURE, minecraft:polar_bear, 5, 1, 2
296, river, minecraft:frozen_river, CREATURE, snowpig:snow_pig, 10, 4, 4
297, river, minecraft:frozen_river, AMBIENT, minecraft:bat, 10, 8, 8
298, river, minecraft:frozen_river, AMBIENT, alexsmobs:cockroach, 5, 5, 5
299, river, minecraft:frozen_river, AMBIENT, alexsmobs:cockroach, 5, 5, 5
300, river, minecraft:frozen_river, WATER_CREATURE, minecraft:squid, 5, 1, 4
301, river, minecraft:frozen_river, WATER_AMBIENT, minecraft:salmon, 5, 1, 5
302, river, minecraft:frozen_river, WATER_AMBIENT, upgrade_aquatic:pike, 11, 1, 2
303, icy, minecraft:snowy_tundra, MONSTER, minecraft:spider, 80, 4, 4
304, icy, minecraft:snowy_tundra, MONSTER, minecraft:zombie_villager, 5, 1, 1
305, icy, minecraft:snowy_tundra, MONSTER, minecraft:skeleton, 20, 4, 4
306, icy, minecraft:snowy_tundra, MONSTER, minecraft:creeper, 80, 4, 4
307, icy, minecraft:snowy_tundra, MONSTER, minecraft:slime, 80, 4, 4
308, icy, minecraft:snowy_tundra, MONSTER, minecraft:enderman, 10, 1, 4
309, icy, minecraft:snowy_tundra, MONSTER, minecraft:witch, 5, 1, 1
310, icy, minecraft:snowy_tundra, MONSTER, minecraft:stray, 80, 4, 4
311, icy, minecraft:snowy_tundra, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
312, icy, minecraft:snowy_tundra, MONSTER, betterdefaultbiomes:frozen_zombie, 80, 4, 4
313, icy, minecraft:snowy_tundra, MONSTER, alexsmobs:centipede_head, 8, 1, 1
314, icy, minecraft:snowy_tundra, MONSTER, alexsmobs:centipede_head, 8, 1, 1
315, icy, minecraft:snowy_tundra, MONSTER, minecraft:stray, 80, 4, 4
316, icy, minecraft:snowy_tundra, MONSTER, eidolon:wraith, 80, 1, 2
317, icy, minecraft:snowy_tundra, MONSTER, eidolon:zombie_brute, 20, 1, 2
318, icy, minecraft:snowy_tundra, MONSTER, iceandfire:dread_lich, 5, 1, 1
319, icy, minecraft:snowy_tundra, MONSTER, iceandfire:troll, 5, 1, 3
320, icy, minecraft:snowy_tundra, MONSTER, druidcraft:dreadfish, 40, 1, 3
321, icy, minecraft:snowy_tundra, MONSTER, quark:stoneling, 80, 1, 1
322, icy, minecraft:snowy_tundra, MONSTER, quark:toretoise, 80, 1, 1
323, icy, minecraft:snowy_tundra, MONSTER, savageandravage:iceologer, 8, 1, 1
324, icy, minecraft:snowy_tundra, CREATURE, minecraft:rabbit, 10, 2, 3
325, icy, minecraft:snowy_tundra, CREATURE, minecraft:polar_bear, 5, 1, 2
326, icy, minecraft:snowy_tundra, CREATURE, snowpig:snow_pig, 20, 1, 4
327, icy, minecraft:snowy_tundra, CREATURE, alexsmobs:moose, 9, 3, 4
328, icy, minecraft:snowy_tundra, CREATURE, alexsmobs:moose, 9, 3, 4
329, icy, minecraft:snowy_tundra, CREATURE, minecraft:polar_bear, 5, 1, 2
330, icy, minecraft:snowy_tundra, CREATURE, snowpig:snow_pig, 10, 4, 4
331, icy, minecraft:snowy_tundra, CREATURE, frozenup:chilloo, 5, 2, 3
332, icy, minecraft:snowy_tundra, AMBIENT, minecraft:bat, 10, 8, 8
333, icy, minecraft:snowy_tundra, AMBIENT, alexsmobs:cockroach, 5, 5, 5
334, icy, minecraft:snowy_tundra, AMBIENT, alexsmobs:cockroach, 5, 5, 5
335, icy, minecraft:snowy_mountains, MONSTER, minecraft:spider, 80, 4, 4
336, icy, minecraft:snowy_mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
337, icy, minecraft:snowy_mountains, MONSTER, minecraft:skeleton, 20, 4, 4
338, icy, minecraft:snowy_mountains, MONSTER, minecraft:creeper, 80, 4, 4
339, icy, minecraft:snowy_mountains, MONSTER, minecraft:slime, 80, 4, 4
340, icy, minecraft:snowy_mountains, MONSTER, minecraft:enderman, 10, 1, 4
341, icy, minecraft:snowy_mountains, MONSTER, minecraft:witch, 5, 1, 1
342, icy, minecraft:snowy_mountains, MONSTER, minecraft:stray, 80, 4, 4
